# file name	old corr [km/s]	new corr [km/s]
ktc00002.asc	25.13	25.00
ktc00003.asc	25.13	24.92
ktc00004.asc	25.12	25.08
ktc00005.asc	25.12	24.93
ktc00006.asc	25.12	24.89
ktc00007.asc	24.85	24.59
ktc00008.asc	24.85	24.66
ktc00009.asc	24.85	24.60
ktc00010.asc	24.85	24.68
ktc00011.asc	24.84	24.62
ktc00012.asc	25.01	25.02
ktc00013.asc	25.01	24.99
ktc00014.asc	25.01	24.88
ktc00015.asc	25.00	25.01
ktc00016.asc	25.00	24.86
ktc00017.asc	24.78	24.87
ktc00018.asc	24.78	24.86
ktc00019.asc	24.78	24.88
ktc00020.asc	24.78	24.76
ktc00021.asc	24.78	24.93
ktc00022.asc	24.74	24.56
ktc00023.asc	24.74	24.58
ktc00024.asc	24.74	24.56
ktc00025.asc	24.73	24.60
ktc00026.asc	24.73	24.51
ktc00027.asc	24.48	24.18
ktc00028.asc	24.48	24.29
ktc00029.asc	24.48	24.27
ktc00030.asc	24.47	24.29
ktc00031.asc	24.47	24.19
ktc00032.asc	24.34	24.28
ktc00033.asc	24.34	24.32
ktc00034.asc	24.34	24.24
ktc00035.asc	24.34	24.28
ktc00036.asc	24.33	24.31
ktc00037.asc	24.10	24.06
ktc00038.asc	24.10	24.06
ktc00039.asc	24.09	24.06
ktc00040.asc	24.09	24.01
ktc00041.asc	24.09	23.96
ktc00042.asc	23.81	23.66
ktc00043.asc	23.81	23.62
ktc00044.asc	23.81	23.67
ktc00045.asc	23.81	23.62
ktc00046.asc	23.81	23.61
ktc00047.asc	23.53	23.33
ktc00048.asc	23.53	23.29
ktc00049.asc	23.52	23.28
ktc00050.asc	23.52	23.31
ktc00051.asc	23.52	23.31
ktc00052.asc	23.50	23.55
ktc00053.asc	23.50	23.50
ktc00054.asc	23.50	23.55
ktc00055.asc	23.49	23.55
ktc00056.asc	23.49	23.60
ktc00057.asc	23.26	23.37
ktc00058.asc	23.26	23.27
ktc00059.asc	23.26	23.34
ktc00060.asc	23.25	23.24
ktc00061.asc	23.25	23.13
ktc00062.asc	23.32	23.23
ktc00063.asc	23.32	23.20
ktc00064.asc	23.32	23.08
ktc00065.asc	23.32	23.16
ktc00066.asc	23.32	23.12
ktc00067.asc	23.04	22.94
ktc00068.asc	23.04	22.97
ktc00069.asc	23.04	22.94
ktc00070.asc	23.04	22.98
ktc00071.asc	23.03	22.95
ktc00072.asc	22.97	22.88
ktc00073.asc	22.97	22.92
ktc00074.asc	22.97	22.77
ktc00075.asc	22.96	22.80
ktc00076.asc	22.96	22.86
ktc00077.asc	22.69	22.52
ktc00078.asc	22.69	22.55
ktc00079.asc	22.69	22.46
ktc00080.asc	22.68	22.42
ktc00081.asc	22.68	22.55
ktc00082.asc	22.64	22.43
ktc00083.asc	22.64	22.51
ktc00084.asc	22.64	22.41
ktc00085.asc	22.64	22.46
ktc00086.asc	22.64	22.54
ktc00087.asc	22.39	22.07
ktc00088.asc	22.39	22.12
ktc00089.asc	22.39	22.10
ktc00090.asc	22.38	22.05
ktc00091.asc	22.38	22.10
ktc00092.asc	22.24	22.15
ktc00093.asc	22.24	22.04
ktc00094.asc	22.24	22.09
ktc00095.asc	22.24	22.11
ktc00096.asc	22.23	21.92
ktc00097.asc	21.93	21.70
ktc00098.asc	21.93	21.65
ktc00099.asc	21.93	21.63
ktc00100.asc	21.93	21.71
ktc00101.asc	21.92	21.66
ktc00102.asc	21.94	21.68
ktc00103.asc	21.94	21.62
ktc00104.asc	21.94	21.81
ktc00105.asc	21.94	21.66
ktc00106.asc	21.94	21.81
ktc00107.asc	21.69	21.44
ktc00108.asc	21.69	21.46
ktc00109.asc	21.69	21.48
ktc00110.asc	21.68	21.55
ktc00111.asc	21.68	21.48
ktc00112.asc	21.68	21.40
ktc00113.asc	21.68	21.51
ktc00114.asc	21.63	21.52
ktc00115.asc	21.62	21.56
ktc00116.asc	21.62	21.72
ktc00117.asc	21.62	21.55
ktc00118.asc	21.62	21.69
ktc00119.asc	21.33	21.35
ktc00120.asc	21.33	21.28
ktc00121.asc	21.33	21.35
ktc00122.asc	21.32	21.29
ktc00123.asc	21.32	21.32
ktc00124.asc	21.33	21.02
ktc00125.asc	21.33	20.88
ktc00126.asc	21.33	20.98
ktc00127.asc	21.33	21.03
